/Users/absera/Capstone/swarm-robotics/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
2026-04-23 09:37:16,504 [INFO] root: Configuration loaded successfully from /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-small/comm/seed_005/config_resolved.yaml
Starting API manager with 9 threads ...
## Tasks left:  0
## Tasks left: ## Tasks left: ## Tasks left:   ## Tasks left:  0
0
## Tasks left:  0## Tasks left: 
 0
0 ## Tasks left:  
00## Tasks left: 

 0
2026-04-23 09:37:23,823 [INFO] __main__: robot 0 submitted photo request.
2026-04-23 09:37:24,017 [INFO] __main__: robot 1 submitted photo request.
2026-04-23 09:37:24,205 [INFO] __main__: robot 2 submitted photo request.
2026-04-23 09:37:24,401 [INFO] __main__: robot 3 submitted photo request.
2026-04-23 09:37:24,619 [INFO] __main__: robot 4 submitted photo request.
2026-04-23 09:37:24,881 [INFO] __main__: robot 5 submitted photo request.
2026-04-23 09:37:25,139 [INFO] __main__: robot 6 submitted photo request.
2026-04-23 09:37:25,361 [INFO] __main__: robot 7 submitted photo request.
2026-04-23 09:37:25,588 [INFO] __main__: robot 8 submitted photo request.
2026-04-23 09:37:25,833 [INFO] llm.llm_api_gemini: api request completed: id=3_photo type=photo latency_ms=1431 chars=32
## Tasks left:  0
2026-04-23 09:37:25,838 [INFO] llm.llm_api_gemini: api request completed: id=0_photo type=photo latency_ms=2014 chars=32
## Tasks left:  02026-04-23 09:37:25,838 [INFO] llm.llm_api_gemini: api request completed: id=4_photo type=photo latency_ms=1218 chars=57
## Tasks left: 2026-04-23 09:37:25,838 [INFO] llm.llm_api_gemini: api request completed: id=2_photo type=photo latency_ms=1632 chars=32
 2026-04-23 09:37:25,838 [INFO] llm.llm_api_gemini: api request completed: id=1_photo type=photo latency_ms=1820 chars=32
## Tasks left:  ## Tasks left: 0

 0
0
2026-04-23 09:37:25,845 [INFO] __main__: robot 0 recieved photo summary results.
2026-04-23 09:37:25,845 [INFO] __main__: robot 1 recieved photo summary results.
2026-04-23 09:37:25,845 [INFO] __main__: robot 2 recieved photo summary results.
2026-04-23 09:37:25,845 [INFO] __main__: robot 3 recieved photo summary results.
2026-04-23 09:37:25,846 [INFO] __main__: robot 4 recieved photo summary results.
2026-04-23 09:37:26,084 [INFO] llm.llm_api_gemini: api request completed: id=5_photo type=photo latency_ms=1201 chars=32
## Tasks left:  0
2026-04-23 09:37:26,097 [INFO] __main__: robot 5 recieved photo summary results.
2026-04-23 09:37:26,261 [INFO] llm.llm_api_gemini: api request completed: id=6_photo type=photo latency_ms=1121 chars=32
## Tasks left:  0
2026-04-23 09:37:26,267 [INFO] __main__: robot 6 recieved photo summary results.
2026-04-23 09:37:26,708 [INFO] llm.llm_api_gemini: api request completed: id=7_photo type=photo latency_ms=1347 chars=32
## Tasks left:  0
2026-04-23 09:37:26,722 [INFO] __main__: robot 7 recieved photo summary results.
2026-04-23 09:37:26,814 [INFO] llm.llm_api_gemini: api request completed: id=8_photo type=photo latency_ms=1226 chars=108
## Tasks left:  0
2026-04-23 09:37:26,832 [INFO] __main__: robot 8 recieved photo summary results.
2026-04-23 09:37:29,118 [INFO] __main__: robot 5 accepted message from robot 1 at tick 480
2026-04-23 09:37:29,118 [INFO] __main__: robot 1 sent message to robot 5 at tick 480
2026-04-23 09:37:29,119 [INFO] __main__: robot 1 accepted message from robot 5 at tick 480
2026-04-23 09:37:29,119 [INFO] __main__: robot 5 sent message to robot 1 at tick 480
2026-04-23 09:37:29,120 [INFO] __main__: robot 5 submitted inbox synthesis request from robot 1 (tick 480).
2026-04-23 09:37:29,147 [INFO] __main__: robot 5 accepted message from robot 1 at tick 481
2026-04-23 09:37:29,147 [INFO] __main__: robot 1 sent message to robot 5 at tick 481
2026-04-23 09:37:29,147 [INFO] __main__: robot 1 submitted inbox synthesis request from robot 5 (tick 480).
2026-04-23 09:37:29,148 [INFO] __main__: robot 1 accepted message from robot 5 at tick 481
2026-04-23 09:37:29,148 [INFO] __main__: robot 5 sent message to robot 1 at tick 481
2026-04-23 09:37:29,171 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 481) with newer message from robot 1 (tick 482)
2026-04-23 09:37:29,172 [INFO] __main__: robot 1 sent message to robot 5 at tick 482
2026-04-23 09:37:29,172 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 481) with newer message from robot 5 (tick 482)
2026-04-23 09:37:29,173 [INFO] __main__: robot 5 sent message to robot 1 at tick 482
2026-04-23 09:37:29,204 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 482) with newer message from robot 1 (tick 483)
2026-04-23 09:37:29,204 [INFO] __main__: robot 1 sent message to robot 5 at tick 483
2026-04-23 09:37:29,204 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 482) with newer message from robot 5 (tick 483)
2026-04-23 09:37:29,204 [INFO] __main__: robot 5 sent message to robot 1 at tick 483
2026-04-23 09:37:29,224 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 483) with newer message from robot 1 (tick 484)
2026-04-23 09:37:29,224 [INFO] __main__: robot 1 sent message to robot 5 at tick 484
2026-04-23 09:37:29,225 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 483) with newer message from robot 5 (tick 484)
2026-04-23 09:37:29,225 [INFO] __main__: robot 5 sent message to robot 1 at tick 484
2026-04-23 09:37:29,250 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 484) with newer message from robot 1 (tick 485)
2026-04-23 09:37:29,250 [INFO] __main__: robot 1 sent message to robot 5 at tick 485
2026-04-23 09:37:29,250 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 484) with newer message from robot 5 (tick 485)
2026-04-23 09:37:29,251 [INFO] __main__: robot 5 sent message to robot 1 at tick 485
2026-04-23 09:37:29,280 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 485) with newer message from robot 1 (tick 486)
2026-04-23 09:37:29,281 [INFO] __main__: robot 1 sent message to robot 5 at tick 486
2026-04-23 09:37:29,281 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 485) with newer message from robot 5 (tick 486)
2026-04-23 09:37:29,281 [INFO] __main__: robot 5 sent message to robot 1 at tick 486
2026-04-23 09:37:29,301 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 486) with newer message from robot 1 (tick 487)
2026-04-23 09:37:29,301 [INFO] __main__: robot 1 sent message to robot 5 at tick 487
2026-04-23 09:37:29,301 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 486) with newer message from robot 5 (tick 487)
2026-04-23 09:37:29,301 [INFO] __main__: robot 5 sent message to robot 1 at tick 487
2026-04-23 09:37:29,325 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 487) with newer message from robot 1 (tick 488)
2026-04-23 09:37:29,326 [INFO] __main__: robot 1 sent message to robot 5 at tick 488
2026-04-23 09:37:29,327 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 487) with newer message from robot 5 (tick 488)
2026-04-23 09:37:29,327 [INFO] __main__: robot 5 sent message to robot 1 at tick 488
2026-04-23 09:37:29,347 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 488) with newer message from robot 1 (tick 489)
2026-04-23 09:37:29,347 [INFO] __main__: robot 1 sent message to robot 5 at tick 489
2026-04-23 09:37:29,348 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 488) with newer message from robot 5 (tick 489)
2026-04-23 09:37:29,348 [INFO] __main__: robot 5 sent message to robot 1 at tick 489
2026-04-23 09:37:29,371 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 489) with newer message from robot 1 (tick 490)
2026-04-23 09:37:29,372 [INFO] __main__: robot 1 sent message to robot 5 at tick 490
2026-04-23 09:37:29,372 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 489) with newer message from robot 5 (tick 490)
2026-04-23 09:37:29,372 [INFO] __main__: robot 5 sent message to robot 1 at tick 490
2026-04-23 09:37:29,393 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 490) with newer message from robot 1 (tick 491)
2026-04-23 09:37:29,393 [INFO] __main__: robot 1 sent message to robot 5 at tick 491
2026-04-23 09:37:29,394 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 490) with newer message from robot 5 (tick 491)
2026-04-23 09:37:29,394 [INFO] __main__: robot 5 sent message to robot 1 at tick 491
2026-04-23 09:37:29,411 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 491) with newer message from robot 1 (tick 492)
2026-04-23 09:37:29,411 [INFO] __main__: robot 1 sent message to robot 5 at tick 492
2026-04-23 09:37:29,411 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 491) with newer message from robot 5 (tick 492)
2026-04-23 09:37:29,411 [INFO] __main__: robot 5 sent message to robot 1 at tick 492
2026-04-23 09:37:29,440 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 492) with newer message from robot 1 (tick 493)
2026-04-23 09:37:29,440 [INFO] __main__: robot 1 sent message to robot 5 at tick 493
2026-04-23 09:37:29,441 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 492) with newer message from robot 5 (tick 493)
2026-04-23 09:37:29,441 [INFO] __main__: robot 5 sent message to robot 1 at tick 493
2026-04-23 09:37:29,465 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 493) with newer message from robot 1 (tick 494)
2026-04-23 09:37:29,465 [INFO] __main__: robot 1 sent message to robot 5 at tick 494
2026-04-23 09:37:29,466 [INFO] __main__: robot 1 replaced pending message from robot 5 (tick 493) with newer message from robot 5 (tick 494)
2026-04-23 09:37:29,466 [INFO] __main__: robot 5 sent message to robot 1 at tick 494
2026-04-23 09:37:29,490 [INFO] __main__: robot 5 replaced pending message from robot 1 (tick 494) with newer message from robot 1 (tick 495)
2026-04-23 09:37:29,490 [INFO] __main__: robot 1 sent message to robot 5 at tick 495
